tissueId, geneId, level, confidence, cellType 
bronchus,ADH7,High,Supported,respiratory_epithelial_cells
colon,ADH7,Low,Supported,glandular_cells
esophagus,ADH7,High,Supported,squamous_epithelial_cells
nasopharynx,ADH7,High,Supported,respiratory_epithelial_cells
oral_mucosa,ADH7,High,Supported,squamous_epithelial_cells
stomach_1,ADH7,Medium,Supported,glandular_cells
stomach_2,ADH7,Medium,Supported,glandular_cells
tonsil,ADH7,Medium,Supported,squamous_epithelial_cells
duodenum,ADH4,Medium,Supported,glandular_cells
liver,ADH4,High,Supported,hepatocytes
small_intestine,ADH4,Low,Supported,glandular_cells
adrenal_gland,ACSS2,Medium,Approved,glandular_cells
appendix,ACSS2,Medium,Approved,glandular_cells
bone_marrow,ACSS2,Low,Approved,hematopoietic_cells
breast,ACSS2,Low,Approved,glandular_cells
breast,ACSS2,Low,Approved,myoepithelial_cells
caudate,ACSS2,Medium,Approved,glial_cells
cerebellum,ACSS2,Low,Approved,cells_in_granular_layer
cerebral_cortex,ACSS2,Low,Approved,endothelial_cells
cerebral_cortex,ACSS2,Low,Approved,glial_cells
cerebral_cortex,ACSS2,Low,Approved,neuropil
cervix__uterine,ACSS2,Low,Approved,glandular_cells
colon,ACSS2,Medium,Approved,glandular_cells
colon,ACSS2,Low,Approved,peripheral_nerve_ganglion
duodenum,ACSS2,Medium,Approved,glandular_cells
endometrium_2,ACSS2,Low,Approved,glandular_cells
epididymis,ACSS2,Low,Approved,glandular_cells
fallopian_tube,ACSS2,Low,Approved,glandular_cells
gallbladder,ACSS2,Low,Approved,glandular_cells
heart_muscle,ACSS2,Medium,Approved,myocytes
hippocampus,ACSS2,Medium,Approved,glial_cells
liver,ACSS2,Low,Approved,hepatocytes
lung,ACSS2,Low,Approved,macrophages
lung,ACSS2,Low,Approved,pneumocytes
ovary,ACSS2,Low,Approved,follicle_cells
pancreas,ACSS2,Low,Approved,islets_of_Langerhans
parathyroid_gland,ACSS2,Low,Approved,glandular_cells
placenta,ACSS2,Low,Approved,decidual_cells
placenta,ACSS2,Low,Approved,trophoblastic_cells
prostate,ACSS2,Low,Approved,glandular_cells
rectum,ACSS2,Medium,Approved,glandular_cells
salivary_gland,ACSS2,Low,Approved,glandular_cells
skeletal_muscle,ACSS2,Medium,Approved,myocytes
skin_1,ACSS2,Low,Approved,Langerhans
skin_1,ACSS2,Low,Approved,melanocytes
skin_2,ACSS2,Low,Approved,epidermal_cells
small_intestine,ACSS2,Medium,Approved,glandular_cells
soft_tissue_1,ACSS2,Low,Approved,peripheral_nerve
stomach_1,ACSS2,Medium,Approved,glandular_cells
stomach_2,ACSS2,Medium,Approved,glandular_cells
testis,ACSS2,Low,Approved,cells_in_seminiferous_ducts
testis,ACSS2,Low,Approved,Leydig_cells
thyroid_gland,ACSS2,Low,Approved,glandular_cells
adrenal_gland,ACSS1,Low,Approved,glandular_cells
appendix,ACSS1,Medium,Approved,glandular_cells
bone_marrow,ACSS1,Medium,Approved,hematopoietic_cells
breast,ACSS1,Low,Approved,glandular_cells
breast,ACSS1,Low,Approved,myoepithelial_cells
bronchus,ACSS1,High,Approved,respiratory_epithelial_cells
caudate,ACSS1,Low,Approved,glial_cells
caudate,ACSS1,Low,Approved,neuronal_cells
cerebellum,ACSS1,Medium,Approved,cells_in_granular_layer
cerebral_cortex,ACSS1,Medium,Approved,endothelial_cells
cerebral_cortex,ACSS1,Medium,Approved,neuronal_cells
cerebral_cortex,ACSS1,Low,Approved,neuropil
cervix__uterine,ACSS1,Medium,Approved,squamous_epithelial_cells
colon,ACSS1,Medium,Approved,glandular_cells
duodenum,ACSS1,Medium,Approved,glandular_cells
epididymis,ACSS1,Low,Approved,glandular_cells
esophagus,ACSS1,High,Approved,squamous_epithelial_cells
fallopian_tube,ACSS1,Medium,Approved,glandular_cells
gallbladder,ACSS1,Medium,Approved,glandular_cells
heart_muscle,ACSS1,High,Approved,myocytes
hippocampus,ACSS1,Low,Approved,glial_cells
hippocampus,ACSS1,Low,Approved,neuronal_cells
kidney,ACSS1,High,Approved,cells_in_tubules
lung,ACSS1,Medium,Approved,macrophages
lung,ACSS1,Low,Approved,pneumocytes
lymph_node,ACSS1,Medium,Approved,germinal_center_cells
